id,latitude,longitude,neighbourhood_cleansed,accommodates,bedrooms,beds,bathrooms,review_scores_rating,number_of_reviews,host_listings_count,amenities_count,host_tenure_days,has_picture,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,occupancy_rate_mean,target_price
3781,42.36413,-71.02991,East Boston,2,1.0,1.0,1.0,4.96,26,3.0,28,6168.0,1,True,False,False,False,0.10684931506849316,125.0
5506,42.32844,-71.09581,Roxbury,2,1.0,1.0,1.0,4.82,138,12.0,29,6090.0,1,True,False,False,False,0.8164383561643835,129.0
6695,42.32802,-71.09387,Roxbury,4,0.0,2.0,1.0,4.81,141,12.0,29,6090.0,1,True,False,False,False,0.8465753424657534,168.0
8789,42.35867,-71.06307,Beacon Hill,2,1.0,2.0,1.0,4.69,29,8.0,33,5937.0,1,True,False,False,False,0.2410958904109589,140.0
10811,42.35173,-71.08685,Back Bay,3,0.0,1.0,1.0,4.33,9,21.0,22,5881.0,1,True,False,False,False,0.40273972602739727,166.0
10813,42.35061,-71.08787,Back Bay,2,0.0,1.0,1.0,5.0,6,21.0,33,5881.0,1,True,False,False,False,0.6794520547945205,202.0
10986,42.36377,-71.05206,North End,2,0.0,1.0,1.0,4.5,2,21.0,34,5881.0,1,True,False,False,False,0.0958904109589041,202.0
18711,42.32212,-71.06096,Dorchester,6,3.0,3.0,1.0,4.3,51,60.0,54,5756.0,1,True,False,False,False,0.21643835616438356,162.0
29765,42.37754,-71.06642,Charlestown,2,1.0,1.0,1.0,4.97,103,1.0,33,5636.0,1,True,False,False,False,0.5260273972602739,323.0
40601,42.31347,-71.11082,Jamaica Plain,2,1.0,1.0,1.5,4.98,103,1.0,60,5574.0,1,False,False,True,False,0.06575342465753424,91.0
45987,42.37424,-71.06081,Charlestown,3,1.0,1.0,1.0,4.67,143,1.0,62,5545.0,1,True,False,False,False,0.8794520547945206,176.0
47521,42.29871,-71.05954,Dorchester,2,0.0,1.0,1.0,4.45,334,7.0,15,5650.0,1,True,False,False,False,0.8328767123287671,59.0
60029,42.32546,-71.08894,Roxbury,1,1.0,1.0,1.0,4.73,145,1.0,26,5496.0,1,False,False,True,False,0.36164383561643837,72.0
60356,42.35894,-71.0631,Beacon Hill,2,1.0,1.0,1.0,4.84,19,8.0,25,5937.0,1,True,False,False,False,0.6876712328767123,106.0
77681,42.37865,-71.06373,Charlestown,2,1.0,1.0,1.0,4.36,71,1.0,35,5350.0,1,False,False,True,False,0.0,140.0
77691,42.29871,-71.05954,Dorchester,2,,,,4.41,304,7.0,28,5650.0,1,False,False,True,False,0.11232876712328767,
163941,42.32806,-71.09423,Roxbury,6,2.0,3.0,1.0,4.71,317,12.0,34,6090.0,1,True,False,False,False,0.8767123287671232,225.0
184893,42.37823,-71.06778,Charlestown,4,1.0,,,,0,9.0,38,5200.0,1,True,False,False,False,0.27945205479452057,
197727,42.31331,-71.12061,Jamaica Plain,1,1.0,1.0,1.0,4.97,66,1.0,55,5185.0,1,False,False,True,False,0.1643835616438356,62.0
197972,42.31533,-71.11025,Jamaica Plain,2,1.0,1.0,1.0,4.89,570,2.0,50,5185.0,1,True,False,False,False,0.7068493150684931,174.0
205894,42.29871,-71.05954,Dorchester,2,3.0,,,4.45,217,7.0,25,5650.0,1,False,False,True,False,0.11506849315068493,
210097,42.31685,-71.10867,Jamaica Plain,2,0.0,1.0,1.0,4.9,330,1.0,44,5169.0,1,True,False,False,False,0.40273972602739727,133.0
220676,42.36614,-71.05226,North End,3,1.0,1.0,1.0,4.93,366,1.0,28,5156.0,1,False,False,True,False,0.5095890410958904,279.0
257588,42.33255,-71.04125,South Boston,4,2.0,2.0,1.0,4.85,536,2.0,54,5106.0,1,True,False,False,False,0.13972602739726028,322.0
297994,42.33583,-71.05271,South Boston,4,2.0,2.0,1.0,4.59,71,1.0,50,5050.0,1,True,False,False,False,0.3452054794520548,270.0
315982,42.29871,-71.05954,Dorchester,4,2.0,3.0,2.0,4.36,121,7.0,22,5650.0,1,True,False,False,False,0.09863013698630137,245.0
377474,42.29871,-71.05954,Dorchester,1,1.0,1.0,0.5,4.66,118,7.0,20,5650.0,1,False,False,True,False,0.16712328767123288,50.0
447826,42.31658,-71.11012,Jamaica Plain,2,1.0,1.0,1.0,4.84,431,1.0,31,4952.0,1,False,False,True,False,0.4273972602739726,76.0
496022,42.31062,-71.1176,Jamaica Plain,2,,,,4.93,16,1.0,15,4967.0,1,False,False,True,False,1.0,
507525,42.34914,-71.06781,Bay Village,2,1.0,,,5.0,8,1.0,6,4894.0,1,True,False,False,False,1.0,
